Unnamed: 0,URL,Item Name,Ingredients,Reef Safe Determination
24,https://www.sunbum.com//products/spf-15-sunscreen-browing-lotion,SPF 15 Sunscreen Browning Lotion– Sun Bum,"Active Ingredients: Homosalate 5%, Octocrylene 10%, Octisalate 2%, Avobenzone 2%Inactive Ingredients: water, caprylic/capric triglyceride, cocos nucifera (coconut) oil, glyceryl stearate, PEG-100 stearate, fragrance, caramel, cetyl alcohol, aloe barbadensis leaf juice, argania spinosa (argan) kernel oil, aleurites moluccana (kukui) seed oil, coffea arabica (coffee) seed oil, carica papaya fruit extract, zingiber officinale (ginger) root extract, helianthus annuus (sunflower) extract, macadamia ternifolia seed oil, glycerin, hydrolyzed algin, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, acrylates/c10-30 alkyl acrylate crosspolymer, tocopheryl acetate, tocopherol, magnesium sulfate, manganese sulfate, isohexadecane, polysorbate 60, caffeine, phenoxyethanol, ethylhexylglycerin, sodium hydroxide, blue no. 1, red no. 33, red no. 4, yellow no. 6",1
25,https://www.sunbum.com//products/natural-browning-lotion-8-5oz,Natural Browning Tanning Lotion | Sun Bum,"water, ethylhexyl palmitate, caprylic/capric triglyceride, glyceryl stearate, fragrance, cetyl alcohol, stearic acid, phenoxyethanol, caramel, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, isohexadecane, acrylates/C10-30 alkyl acrylate crosspolymer, ethylhexylglycerin, sodium hydroxide, polysorbate 60, tocopherol, daucus carota sativa (carrot) seed oil, hydrolyzed algin, coffea arabica (coffee) seed oil, glycerin, tocopheryl acetate, salvia hispanica (chia) seed oil, magnesium sulfate, manganese sulfate, cocos nucifera oil, aloe barbadensis leaf juice, argania spinosa kernel oil, caffeine, aleurites moluccana seed oil, coffea arabica (coffee) seed extract, carica papaya (papaya) fruit extract, zingiber officinale (ginger) root extract, panthenyl triacetate, macadamia ternifolia seed oil, ascorbyl palmitate, ethyl linoleate, oleyl alcohol, magnesium aspartate, zinc gluconate, copper gluconate, yellow 6 (CI 15985), red 4 (CI 14700), red 33 (CI 17200), blue 1 (CI 42090)",
26,https://www.sunbum.com//products/after-sun-cool-down-lotion,After Sun Cool Down Aloe Lotion | Sun Bum,"Water, glyceryl monostearate, stearic acid, gossypium herbaceum (cotton) seed oil, sorbitol, cetyl alcohol, phenoxyethanol, fragrance, aloe barbadensis leaf extract, sorbitan oleate, triethanolamine, ethylhexylglycerin, simmondsia chinenesis (jojoba) seed oil, theobroma cacao (cocoa) seed butter, tocopheryl acetate",
27,https://www.sunbum.com//products/after-sun-cool-down-gel-8oz,After Sun Cool Down Aloe Gel | Sun Bum,"water, glycerin, aloe barbadensis leaf juice, carbomer, melaleuca alternifolia (tea tree) leaf oil, tocopheryl acetate, polysorbate 20, phenoxyethanol, ethylhexylglycerin, disodium EDTA, sodium hydroxide, blue 1, yellow 5",
28,https://www.sunbum.com//products/after-sun-cool-down-aloe-vera-spray-6oz,After Sun Cool Down Aloe Vera Spray | Sun Bum,"ethylhexyl palmitate, fragrance, aloe barbadensis leaf extract, cucumis sativus (cucumber) fruit extract, glycerin, hydrolyzed elastin, chamomilla recutita (matricaria) flower extract, helianthus annuus seed oil, mineral oil, tocopheryl acetate",
29,https://www.sunbum.com//products/mineral-spf-50-sunscreen-roll-on-lotion,Mineral SPF 50 Sunscreen Roll-On Lotion– Sun Bum,"Active Ingredients: Titanium Dioxide 3.4%, Zinc Oxide 15.7%Inactive Ingredients: water, butyloctyl salicylate, dicaprylyl carbonate, isononyl isononanoate, propanediol, isocetyl stearoyl stearate, methyl dihydroabietate, cetearyl alcohol, aloe barbadensis leaf juice, musa sapientum (banana) fruit extract, bisabolol, bentonite, cellulose gum, C18-21 alkane, caprylyl glycol, citric acid, coco-glucoside, glycerin, microcrystalline cellulose, polyhydroxystearic acid, sodium gluconate, sodium stearoyl glutamate, tocopherol, polyester-8, silica, alumina, caprylhydroxamic acid",2
30,https://www.sunbum.com//products/mineral-spf-30-sunscreen-spray-6oz,Zinc-Based Mineral Sunscreen Spray SPF 30 | Sun Bum,"Active Ingredient: Zinc Oxide 14.0%Inactive Ingredients: water, helianthus annuus (sunflower) seed oil, butyloctyl salicylate, carthamus tinctorius (safflower) seed oil, caprylic/capric triglyceride, bentonite, methyl dihydroabietate, cetearyl alcohol, aloe barbadensis leaf juice, glycerin, tocopherol, cellulose gum, microcrystalline cellulose, jojoba ester, caprylyl glycol, coco-glucoside, bisabolol, polyhydroxystearic acid, caprylhydroxamic acid",2
31,https://www.sunbum.com//products/mineral-spf-50-sunscreen-spray,Mineral Sunscreen Spray SPF 50 | Sun Bum,"Active Ingredients: Titanium Dioxide 3.4%, Zinc Oxide 16%Inactive Ingredients: water, butyloctyl salicylate, helianthus annuus (sunflower) seed oil, dicaprylyl carbonate, propanediol, isocetyl stearoyl stearate, methyl dihydroabietate, cetearyl alcohol, polyester-8, sodium stearoyl glutamate, coco-glucoside, aloe barbadensis leaf juice, musa sapientum (banana) fruit extract, tocopherol, glycerin, cellulose gum, bentonite, microcrystalline cellulose, caprylyl glycol, silicia, polyhydroxystearic acid, citric acid, alumina, bisabolol, sodium gluconate, caprylhydroamic acid",2
32,https://www.sunbum.com//products/mineral-spf-30-sunscreen-lotion,Mineral SPF 30 Sunscreen Lotion– Sun Bum,"Active Ingredient: Zinc Oxide 14.7%Inactive Ingredients: water, cocos nucifera (coconut) oil, butyloctyl salicylate, diheptyl succinate, capryloyl glycerin/sebacic acid copolymer, methyl dihydroabietate, butyrospermum parkii (shea butter), cetearyl alcohol, sodium stearoyl glutamate, theobroma cacao (cocoa) seed butter, tocopherol, coco-glucoside, microcrystalline cellulose, cetyl alcohol, behenyl alcohol, bisabolol, arachidyl glucoside, phenoxyethanol, arachidyl alcohol, cellulose gum, sodium hyaluronate, sodium gluconate, citric acid, ethylhexylglycerin, polyhydroxystearic acid",2
33,https://www.sunbum.com//products/spf-50-mineral-lotion-3-0oz,Mineral Sunscreen Lotion SPF 50 | Sun Bum,"Active Ingredient: Zinc Oxide 20.0%Inactive Ingredients: water, cocos nucifera (coconut) oil, butyloctyl salicylate, diheptyl succinate, methyl dihydroabietatebutyrospermum parkii (shea) butter, capryloyl glycerin/sebacic acid copolymer, sodium stearoyl glutamate, cetearyl alcohol, arachidyl alcohol, coco-glucoside, tocopherol, theobroma cacao (cocoa) seed butter, cetyl alcohol, behenyl alcohol, bisabolol, arachidyl glucoside, microcrystalline cellulose, cellulose gum, sodium hyaluronate, sodium gluconate, phenoxyethanol, citric acid, ethylhexylglycerin, polyhydroxystearic acid",2
